run_key,experiment_name,forget_id,policy,FA,EA,RA,ERB,IdentityLeak@1,IdentityLeak@4,IdentityLeak@8,mean_target_similarity,max_target_similarity,RA_hard,RA_random,hard_neighbor_retention_gap,forget_sample_count,retain_sample_count,total_sample_count,detector_success_rate,fallback_sample_count,attempted_sample_count,evaluated_sample_count,dropped_no_face_count,det_thresh,use_fallback,after_dir,threshold
expanded_1368/least_sim_hard,expanded_1368,1368,least_sim_hard,0.0,100.0,98.6013986013986,99.29577464788731,0.0,0.0,0.0,0.2148164138197899,0.2518322467803955,97.1830985915493,100.0,-2.816901408450704,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_1368/least_sim_hard_gen,0.14650361239910126
expanded_1375/nearest_hard,expanded_1375,1375,nearest_hard,100.0,0.0,88.65248226950354,0.0,100.0,100.0,100.0,0.7367781574527422,0.7579052448272705,77.46478873239437,100.0,-22.535211267605632,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1375/nearest_hard_gen,0.14650361239910126
expanded_1375/random_hard,expanded_1375,1375,random_hard,0.0,100.0,88.65248226950354,93.98496240601504,0.0,0.0,0.0,0.24577482789754868,0.2809372544288635,77.46478873239437,100.0,-22.535211267605632,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1375/random_hard_gen,0.14650361239910126
expanded_1375/median_hard,expanded_1375,1375,median_hard,0.0,100.0,88.65248226950354,93.98496240601504,0.0,0.0,0.0,0.24577482789754868,0.2809372544288635,77.46478873239437,100.0,-22.535211267605632,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1375/median_hard_gen,0.14650361239910126
expanded_1375/least_sim_hard,expanded_1375,1375,least_sim_hard,0.0,100.0,88.65248226950354,93.98496240601504,0.0,0.0,0.0,0.23492668941617012,0.26792797446250916,77.46478873239437,100.0,-22.535211267605632,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1375/least_sim_hard_gen,0.14650361239910126
expanded_1489/nearest_hard,expanded_1489,1489,nearest_hard,100.0,0.0,87.5,0.0,100.0,100.0,100.0,0.7212133184075356,0.7651400566101074,75.0,100.0,-25.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1489/nearest_hard_gen,0.14650361239910126
expanded_1489/random_hard,expanded_1489,1489,random_hard,0.0,100.0,87.5,93.33333333333333,0.0,0.0,0.0,0.29307907571395236,0.34797102212905884,75.0,100.0,-25.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1489/random_hard_gen,0.14650361239910126
expanded_1489/median_hard,expanded_1489,1489,median_hard,0.0,100.0,87.5,93.33333333333333,0.0,0.0,0.0,0.29949089636405307,0.35239607095718384,75.0,100.0,-25.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1489/median_hard_gen,0.14650361239910126
expanded_1489/least_sim_hard,expanded_1489,1489,least_sim_hard,0.0,100.0,87.5,93.33333333333333,0.0,0.0,0.0,0.29307907571395236,0.34797102212905884,75.0,100.0,-25.0,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_1489/least_sim_hard_gen,0.14650361239910126
expanded_1490/nearest_hard,expanded_1490,1490,nearest_hard,8.333333333333332,91.66666666666667,86.52482269503547,89.02155887230515,0.0,0.0,66.66666666666666,0.7048592542608579,0.7377879619598389,73.61111111111111,100.0,-26.388888888888886,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1490/nearest_hard_gen,0.14650361239910126
