experiment_name,forget_id,policy,target_identity,target_similarity_to_forget,candidate_similarities,fa,ra,erb,identity_leak_at_8,evaluated,dropped,metrics_path,run_key
expanded_1368,1368,median_hard,384,0.29094403982162476,"[{""identity"":1375,""similarity"":0.8327707052230835},{""identity"":8722,""similarity"":0.28634607791900635},{""identity"":384,""similarity"":0.29094403982162476}]",0.0,100.0,100.0,0.0,166,2,outputs/expanded_1368/eval_median_hard/metrics.json,expanded_1368/median_hard
expanded_1368,1368,least_sim_hard,8722,0.28634607791900635,"[{""identity"":1375,""similarity"":0.8327707052230835},{""identity"":8722,""similarity"":0.28634607791900635},{""identity"":384,""similarity"":0.29094403982162476}]",0.0,98.6013986013986,99.29577464788731,0.0,167,1,outputs/expanded_1368/eval_least_sim_hard/metrics.json,expanded_1368/least_sim_hard
expanded_1375,1375,nearest_hard,1368,0.9101989269256592,"[{""identity"":1368,""similarity"":0.9101989269256592},{""identity"":8722,""similarity"":0.31110602617263794},{""identity"":384,""similarity"":0.3230573534965515}]",100.0,88.65248226950354,0.0,100.0,165,3,outputs/expanded_1375/eval_nearest_hard/metrics.json,expanded_1375/nearest_hard
expanded_1375,1375,random_hard,384,0.3230573534965515,"[{""identity"":1368,""similarity"":0.9101989269256592},{""identity"":8722,""similarity"":0.31110602617263794},{""identity"":384,""similarity"":0.3230573534965515}]",0.0,88.65248226950354,93.98496240601504,0.0,165,3,outputs/expanded_1375/eval_random_hard/metrics.json,expanded_1375/random_hard
expanded_1375,1375,median_hard,384,0.3230573534965515,"[{""identity"":1368,""similarity"":0.9101989269256592},{""identity"":8722,""similarity"":0.31110602617263794},{""identity"":384,""similarity"":0.3230573534965515}]",0.0,88.65248226950354,93.98496240601504,0.0,165,3,outputs/expanded_1375/eval_median_hard/metrics.json,expanded_1375/median_hard
expanded_1375,1375,least_sim_hard,8722,0.31110602617263794,"[{""identity"":1368,""similarity"":0.9101989269256592},{""identity"":8722,""similarity"":0.31110602617263794},{""identity"":384,""similarity"":0.3230573534965515}]",0.0,88.65248226950354,93.98496240601504,0.0,165,3,outputs/expanded_1375/eval_least_sim_hard/metrics.json,expanded_1375/least_sim_hard
expanded_1489,1489,nearest_hard,1490,0.7436854839324951,"[{""identity"":1490,""similarity"":0.7436854839324951},{""identity"":2930,""similarity"":0.2859888970851898},{""identity"":358,""similarity"":0.27648264169692993}]",100.0,87.5,0.0,100.0,168,0,outputs/expanded_1489/eval_nearest_hard/metrics.json,expanded_1489/nearest_hard
expanded_1489,1489,random_hard,358,0.27648264169692993,"[{""identity"":1490,""similarity"":0.7436854839324951},{""identity"":2930,""similarity"":0.2859888970851898},{""identity"":358,""similarity"":0.27648264169692993}]",0.0,87.5,93.33333333333333,0.0,168,0,outputs/expanded_1489/eval_random_hard/metrics.json,expanded_1489/random_hard
expanded_1489,1489,median_hard,2930,0.2859888970851898,"[{""identity"":1490,""similarity"":0.7436854839324951},{""identity"":2930,""similarity"":0.2859888970851898},{""identity"":358,""similarity"":0.27648264169692993}]",0.0,87.5,93.33333333333333,0.0,168,0,outputs/expanded_1489/eval_median_hard/metrics.json,expanded_1489/median_hard
expanded_1489,1489,least_sim_hard,358,0.27648264169692993,"[{""identity"":1490,""similarity"":0.7436854839324951},{""identity"":2930,""similarity"":0.2859888970851898},{""identity"":358,""similarity"":0.27648264169692993}]",0.0,87.5,93.33333333333333,0.0,168,0,outputs/expanded_1489/eval_least_sim_hard/metrics.json,expanded_1489/least_sim_hard
expanded_1490,1490,nearest_hard,1489,0.865782618522644,"[{""identity"":1489,""similarity"":0.865782618522644},{""identity"":2930,""similarity"":0.3777328133583069},{""identity"":358,""similarity"":0.33047711849212646}]",8.333333333333332,86.52482269503547,89.02155887230515,66.66666666666666,165,3,outputs/expanded_1490/eval_nearest_hard/metrics.json,expanded_1490/nearest_hard
expanded_1490,1490,random_hard,358,0.33047711849212646,"[{""identity"":1489,""similarity"":0.865782618522644},{""identity"":2930,""similarity"":0.3777328133583069},{""identity"":358,""similarity"":0.33047711849212646}]",0.0,86.52482269503547,92.77566539923954,0.0,165,3,outputs/expanded_1490/eval_random_hard/metrics.json,expanded_1490/random_hard
expanded_1490,1490,median_hard,2930,0.3777328133583069,"[{""identity"":1489,""similarity"":0.865782618522644},{""identity"":2930,""similarity"":0.3777328133583069},{""identity"":358,""similarity"":0.33047711849212646}]",0.0,86.52482269503547,92.77566539923954,0.0,165,3,outputs/expanded_1490/eval_median_hard/metrics.json,expanded_1490/median_hard
expanded_1490,1490,least_sim_hard,358,0.33047711849212646,"[{""identity"":1489,""similarity"":0.865782618522644},{""identity"":2930,""similarity"":0.3777328133583069},{""identity"":358,""similarity"":0.33047711849212646}]",0.0,86.52482269503547,92.77566539923954,0.0,165,3,outputs/expanded_1490/eval_least_sim_hard/metrics.json,expanded_1490/least_sim_hard
expanded_1629,1629,nearest_hard,1630,0.8942027688026428,"[{""identity"":1630,""similarity"":0.8942027688026428},{""identity"":2953,""similarity"":0.36802545189857483},{""identity"":6217,""similarity"":0.3220369517803192}]",0.0,88.48920863309353,93.89312977099236,0.0,163,5,outputs/expanded_1629/eval_nearest_hard/metrics.json,expanded_1629/nearest_hard
expanded_1629,1629,random_hard,2953,0.36802545189857483,"[{""identity"":1630,""similarity"":0.8942027688026428},{""identity"":2953,""similarity"":0.36802545189857483},{""identity"":6217,""similarity"":0.3220369517803192}]",0.0,88.48920863309353,93.89312977099236,0.0,163,5,outputs/expanded_1629/eval_random_hard/metrics.json,expanded_1629/random_hard
expanded_1629,1629,median_hard,2953,0.36802545189857483,"[{""identity"":1630,""similarity"":0.8942027688026428},{""identity"":2953,""similarity"":0.36802545189857483},{""identity"":6217,""similarity"":0.3220369517803192}]",0.0,88.48920863309353,93.89312977099236,0.0,163,5,outputs/expanded_1629/eval_median_hard/metrics.json,expanded_1629/median_hard
expanded_1629,1629,least_sim_hard,6217,0.3220369517803192,"[{""identity"":1630,""similarity"":0.8942027688026428},{""identity"":2953,""similarity"":0.36802545189857483},{""identity"":6217,""similarity"":0.3220369517803192}]",0.0,88.48920863309353,93.89312977099236,0.0,163,5,outputs/expanded_1629/eval_least_sim_hard/metrics.json,expanded_1629/least_sim_hard
expanded_1630,1630,nearest_hard,1629,0.9016630053520203,"[{""identity"":1629,""similarity"":0.9016630053520203},{""identity"":2953,""similarity"":0.3633449673652649},{""identity"":6217,""similarity"":0.25095030665397644}]",100.0,66.66666666666666,0.0,100.0,162,6,outputs/expanded_1630/eval_nearest_hard/metrics.json,expanded_1630/nearest_hard
expanded_1630,1630,random_hard,6217,0.25095030665397644,"[{""identity"":1629,""similarity"":0.9016630053520203},{""identity"":2953,""similarity"":0.3633449673652649},{""identity"":6217,""similarity"":0.25095030665397644}]",0.0,67.37588652482269,80.50847457627118,0.0,165,3,outputs/expanded_1630/eval_random_hard/metrics.json,expanded_1630/random_hard
expanded_1630,1630,median_hard,2953,0.3633449673652649,"[{""identity"":1629,""similarity"":0.9016630053520203},{""identity"":2953,""similarity"":0.3633449673652649},{""identity"":6217,""similarity"":0.25095030665397644}]",0.0,66.66666666666666,80.0,0.0,165,3,outputs/expanded_1630/eval_median_hard/metrics.json,expanded_1630/median_hard
expanded_1630,1630,least_sim_hard,6217,0.25095030665397644,"[{""identity"":1629,""similarity"":0.9016630053520203},{""identity"":2953,""similarity"":0.3633449673652649},{""identity"":6217,""similarity"":0.25095030665397644}]",0.0,67.37588652482269,80.50847457627118,0.0,165,3,outputs/expanded_1630/eval_least_sim_hard/metrics.json,expanded_1630/least_sim_hard
expanded_1819,1819,nearest_hard,1818,0.9082443714141846,"[{""identity"":1818,""similarity"":0.9082443714141846},{""identity"":102,""similarity"":0.24938282370567322},{""identity"":3848,""similarity"":0.26930898427963257}]",75.0,92.02898550724638,39.31888544891641,100.0,162,6,outputs/expanded_1819/eval_nearest_hard/metrics.json,expanded_1819/nearest_hard
expanded_1819,1819,random_hard,1818,0.9082443714141846,"[{""identity"":1818,""similarity"":0.9082443714141846},{""identity"":102,""similarity"":0.24938282370567322},{""identity"":3848,""similarity"":0.26930898427963257}]",75.0,92.02898550724638,39.31888544891641,100.0,162,6,outputs/expanded_1819/eval_random_hard/metrics.json,expanded_1819/random_hard
expanded_1819,1819,median_hard,3848,0.26930898427963257,"[{""identity"":1818,""similarity"":0.9082443714141846},{""identity"":102,""similarity"":0.24938282370567322},{""identity"":3848,""similarity"":0.26930898427963257}]",0.0,91.97080291970804,95.81749049429659,0.0,161,7,outputs/expanded_1819/eval_median_hard/metrics.json,expanded_1819/median_hard
expanded_1819,1819,least_sim_hard,102,0.24938282370567322,"[{""identity"":1818,""similarity"":0.9082443714141846},{""identity"":102,""similarity"":0.24938282370567322},{""identity"":3848,""similarity"":0.26930898427963257}]",0.0,92.02898550724638,95.84905660377359,0.0,154,14,outputs/expanded_1819/eval_least_sim_hard/metrics.json,expanded_1819/least_sim_hard
expanded_2877,2877,nearest_hard,1116,0.8656468391418457,"[{""identity"":1116,""similarity"":0.8656468391418457},{""identity"":4600,""similarity"":0.2944827675819397},{""identity"":7237,""similarity"":0.3224891424179077}]",100.0,84.17266187050359,0.0,100.0,163,5,outputs/expanded_2877/eval_nearest_hard/metrics.json,expanded_2877/nearest_hard
expanded_2877,2877,random_hard,1116,0.8656468391418457,"[{""identity"":1116,""similarity"":0.8656468391418457},{""identity"":4600,""similarity"":0.2944827675819397},{""identity"":7237,""similarity"":0.3224891424179077}]",100.0,84.17266187050359,0.0,100.0,163,5,outputs/expanded_2877/eval_random_hard/metrics.json,expanded_2877/random_hard
expanded_2877,2877,median_hard,7237,0.3224891424179077,"[{""identity"":1116,""similarity"":0.8656468391418457},{""identity"":4600,""similarity"":0.2944827675819397},{""identity"":7237,""similarity"":0.3224891424179077}]",0.0,84.17266187050359,91.40624999999999,0.0,163,5,outputs/expanded_2877/eval_median_hard/metrics.json,expanded_2877/median_hard
expanded_2877,2877,least_sim_hard,4600,0.2944827675819397,"[{""identity"":1116,""similarity"":0.8656468391418457},{""identity"":4600,""similarity"":0.2944827675819397},{""identity"":7237,""similarity"":0.3224891424179077}]",0.0,84.28571428571429,91.47286821705427,0.0,164,4,outputs/expanded_2877/eval_least_sim_hard/metrics.json,expanded_2877/least_sim_hard
expanded_3077,3077,nearest_hard,3078,0.9116132259368896,"[{""identity"":3078,""similarity"":0.9116132259368896},{""identity"":5240,""similarity"":0.27057909965515137},{""identity"":4367,""similarity"":0.31274858117103577}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3077/eval_nearest_hard/metrics.json,expanded_3077/nearest_hard
expanded_3077,3077,random_hard,4367,0.31274858117103577,"[{""identity"":3078,""similarity"":0.9116132259368896},{""identity"":5240,""similarity"":0.27057909965515137},{""identity"":4367,""similarity"":0.31274858117103577}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3077/eval_random_hard/metrics.json,expanded_3077/random_hard
expanded_3077,3077,median_hard,4367,0.31274858117103577,"[{""identity"":3078,""similarity"":0.9116132259368896},{""identity"":5240,""similarity"":0.27057909965515137},{""identity"":4367,""similarity"":0.31274858117103577}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3077/eval_median_hard/metrics.json,expanded_3077/median_hard
expanded_3077,3077,least_sim_hard,5240,0.27057909965515137,"[{""identity"":3078,""similarity"":0.9116132259368896},{""identity"":5240,""similarity"":0.27057909965515137},{""identity"":4367,""similarity"":0.31274858117103577}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3077/eval_least_sim_hard/metrics.json,expanded_3077/least_sim_hard
expanded_3078,3078,nearest_hard,3077,0.9200803637504578,"[{""identity"":3077,""similarity"":0.9200803637504578},{""identity"":5240,""similarity"":0.3013828694820404},{""identity"":4367,""similarity"":0.2898251712322235}]",100.0,92.36111111111111,0.0,100.0,168,0,outputs/expanded_3078/eval_nearest_hard/metrics.json,expanded_3078/nearest_hard
expanded_3078,3078,random_hard,3077,0.9200803637504578,"[{""identity"":3077,""similarity"":0.9200803637504578},{""identity"":5240,""similarity"":0.3013828694820404},{""identity"":4367,""similarity"":0.2898251712322235}]",100.0,92.36111111111111,0.0,100.0,168,0,outputs/expanded_3078/eval_random_hard/metrics.json,expanded_3078/random_hard
expanded_3078,3078,median_hard,5240,0.3013828694820404,"[{""identity"":3077,""similarity"":0.9200803637504578},{""identity"":5240,""similarity"":0.3013828694820404},{""identity"":4367,""similarity"":0.2898251712322235}]",0.0,91.66666666666666,95.65217391304347,0.0,168,0,outputs/expanded_3078/eval_median_hard/metrics.json,expanded_3078/median_hard
expanded_3078,3078,least_sim_hard,4367,0.2898251712322235,"[{""identity"":3077,""similarity"":0.9200803637504578},{""identity"":5240,""similarity"":0.3013828694820404},{""identity"":4367,""similarity"":0.2898251712322235}]",0.0,92.36111111111111,96.028880866426,0.0,168,0,outputs/expanded_3078/eval_least_sim_hard/metrics.json,expanded_3078/least_sim_hard
expanded_3465,3465,nearest_hard,3467,0.9043560028076172,"[{""identity"":3467,""similarity"":0.9043560028076172},{""identity"":7624,""similarity"":0.38032710552215576},{""identity"":2882,""similarity"":0.3502427339553833}]",100.0,87.41258741258741,0.0,100.0,167,1,outputs/expanded_3465/eval_nearest_hard/metrics.json,expanded_3465/nearest_hard
expanded_3465,3465,random_hard,7624,0.38032710552215576,"[{""identity"":3467,""similarity"":0.9043560028076172},{""identity"":7624,""similarity"":0.38032710552215576},{""identity"":2882,""similarity"":0.3502427339553833}]",0.0,88.11188811188812,93.68029739776954,0.0,167,1,outputs/expanded_3465/eval_random_hard/metrics.json,expanded_3465/random_hard
expanded_3465,3465,median_hard,7624,0.38032710552215576,"[{""identity"":3467,""similarity"":0.9043560028076172},{""identity"":7624,""similarity"":0.38032710552215576},{""identity"":2882,""similarity"":0.3502427339553833}]",0.0,88.11188811188812,93.68029739776954,0.0,167,1,outputs/expanded_3465/eval_median_hard/metrics.json,expanded_3465/median_hard
expanded_3465,3465,least_sim_hard,2882,0.3502427339553833,"[{""identity"":3467,""similarity"":0.9043560028076172},{""identity"":7624,""similarity"":0.38032710552215576},{""identity"":2882,""similarity"":0.3502427339553833}]",0.0,88.65248226950354,93.98496240601504,0.0,165,3,outputs/expanded_3465/eval_least_sim_hard/metrics.json,expanded_3465/least_sim_hard
expanded_3467,3467,nearest_hard,3465,0.773377001285553,"[{""identity"":3465,""similarity"":0.773377001285553},{""identity"":7624,""similarity"":0.3734317719936371},{""identity"":2882,""similarity"":0.2737230658531189}]",0.0,98.57142857142858,99.28057553956836,0.0,164,4,outputs/expanded_3467/eval_nearest_hard/metrics.json,expanded_3467/nearest_hard
expanded_3467,3467,random_hard,2882,0.2737230658531189,"[{""identity"":3465,""similarity"":0.773377001285553},{""identity"":7624,""similarity"":0.3734317719936371},{""identity"":2882,""similarity"":0.2737230658531189}]",0.0,100.0,100.0,0.0,163,5,outputs/expanded_3467/eval_random_hard/metrics.json,expanded_3467/random_hard
expanded_3467,3467,median_hard,7624,0.3734317719936371,"[{""identity"":3465,""similarity"":0.773377001285553},{""identity"":7624,""similarity"":0.3734317719936371},{""identity"":2882,""similarity"":0.2737230658531189}]",0.0,100.0,100.0,0.0,163,5,outputs/expanded_3467/eval_median_hard/metrics.json,expanded_3467/median_hard
expanded_3467,3467,least_sim_hard,2882,0.2737230658531189,"[{""identity"":3465,""similarity"":0.773377001285553},{""identity"":7624,""similarity"":0.3734317719936371},{""identity"":2882,""similarity"":0.2737230658531189}]",0.0,100.0,100.0,0.0,163,5,outputs/expanded_3467/eval_least_sim_hard/metrics.json,expanded_3467/least_sim_hard
expanded_3693,3693,nearest_hard,3920,0.8541353344917297,"[{""identity"":3920,""similarity"":0.8541353344917297},{""identity"":3918,""similarity"":0.22559183835983276},{""identity"":5747,""similarity"":0.29654592275619507}]",75.0,99.30555555555556,39.944134078212294,100.0,168,0,outputs/expanded_3693/eval_nearest_hard/metrics.json,expanded_3693/nearest_hard
expanded_3693,3693,random_hard,3918,0.22559183835983276,"[{""identity"":3920,""similarity"":0.8541353344917297},{""identity"":3918,""similarity"":0.22559183835983276},{""identity"":5747,""similarity"":0.29654592275619507}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3693/eval_random_hard/metrics.json,expanded_3693/random_hard
expanded_3693,3693,median_hard,5747,0.29654592275619507,"[{""identity"":3920,""similarity"":0.8541353344917297},{""identity"":3918,""similarity"":0.22559183835983276},{""identity"":5747,""similarity"":0.29654592275619507}]",0.0,99.30555555555556,99.65156794425089,0.0,168,0,outputs/expanded_3693/eval_median_hard/metrics.json,expanded_3693/median_hard
expanded_3693,3693,least_sim_hard,3918,0.22559183835983276,"[{""identity"":3920,""similarity"":0.8541353344917297},{""identity"":3918,""similarity"":0.22559183835983276},{""identity"":5747,""similarity"":0.29654592275619507}]",0.0,98.61111111111111,99.3006993006993,0.0,168,0,outputs/expanded_3693/eval_least_sim_hard/metrics.json,expanded_3693/least_sim_hard
expanded_3920,3920,nearest_hard,3693,0.8478947877883911,"[{""identity"":3693,""similarity"":0.8478947877883911},{""identity"":3918,""similarity"":0.43543487787246704},{""identity"":5577,""similarity"":0.3106212019920349}]",0.0,95.1048951048951,97.49103942652332,0.0,167,1,outputs/expanded_3920/eval_nearest_hard/metrics.json,expanded_3920/nearest_hard
expanded_3920,3920,random_hard,5577,0.3106212019920349,"[{""identity"":3693,""similarity"":0.8478947877883911},{""identity"":3918,""similarity"":0.43543487787246704},{""identity"":5577,""similarity"":0.3106212019920349}]",0.0,95.07042253521126,97.47292418772562,0.0,166,2,outputs/expanded_3920/eval_random_hard/metrics.json,expanded_3920/random_hard
expanded_3920,3920,median_hard,3918,0.43543487787246704,"[{""identity"":3693,""similarity"":0.8478947877883911},{""identity"":3918,""similarity"":0.43543487787246704},{""identity"":5577,""similarity"":0.3106212019920349}]",0.0,95.07042253521126,97.47292418772562,0.0,166,2,outputs/expanded_3920/eval_median_hard/metrics.json,expanded_3920/median_hard
expanded_3920,3920,least_sim_hard,5577,0.3106212019920349,"[{""identity"":3693,""similarity"":0.8478947877883911},{""identity"":3918,""similarity"":0.43543487787246704},{""identity"":5577,""similarity"":0.3106212019920349}]",0.0,95.07042253521126,97.47292418772562,0.0,166,2,outputs/expanded_3920/eval_least_sim_hard/metrics.json,expanded_3920/least_sim_hard
expanded_4015,4015,nearest_hard,4016,0.8748234510421753,"[{""identity"":4016,""similarity"":0.8748234510421753},{""identity"":3882,""similarity"":0.32466739416122437},{""identity"":6836,""similarity"":0.249898299574852}]",8.333333333333332,77.77777777777779,84.15300546448088,33.33333333333333,168,0,outputs/expanded_4015/eval_nearest_hard/metrics.json,expanded_4015/nearest_hard
expanded_4015,4015,random_hard,4016,0.8748234510421753,"[{""identity"":4016,""similarity"":0.8748234510421753},{""identity"":3882,""similarity"":0.32466739416122437},{""identity"":6836,""similarity"":0.249898299574852}]",8.333333333333332,77.77777777777779,84.15300546448088,33.33333333333333,168,0,outputs/expanded_4015/eval_random_hard/metrics.json,expanded_4015/random_hard
expanded_4015,4015,median_hard,3882,0.32466739416122437,"[{""identity"":4016,""similarity"":0.8748234510421753},{""identity"":3882,""similarity"":0.32466739416122437},{""identity"":6836,""similarity"":0.249898299574852}]",62.5,77.08333333333334,50.45454545454546,100.0,168,0,outputs/expanded_4015/eval_median_hard/metrics.json,expanded_4015/median_hard
expanded_4015,4015,least_sim_hard,6836,0.249898299574852,"[{""identity"":4016,""similarity"":0.8748234510421753},{""identity"":3882,""similarity"":0.32466739416122437},{""identity"":6836,""similarity"":0.249898299574852}]",0.0,77.08333333333334,87.05882352941177,0.0,168,0,outputs/expanded_4015/eval_least_sim_hard/metrics.json,expanded_4015/least_sim_hard
expanded_4016,4016,nearest_hard,4015,0.9258601665496826,"[{""identity"":4015,""similarity"":0.9258601665496826},{""identity"":3882,""similarity"":0.3129567801952362},{""identity"":7449,""similarity"":0.2904475927352905}]",87.5,67.37588652482269,21.08768035516093,100.0,165,3,outputs/expanded_4016/eval_nearest_hard/metrics.json,expanded_4016/nearest_hard
expanded_4016,4016,random_hard,4015,0.9258601665496826,"[{""identity"":4015,""similarity"":0.9258601665496826},{""identity"":3882,""similarity"":0.3129567801952362},{""identity"":7449,""similarity"":0.2904475927352905}]",87.5,67.37588652482269,21.08768035516093,100.0,165,3,outputs/expanded_4016/eval_random_hard/metrics.json,expanded_4016/random_hard
expanded_4016,4016,median_hard,3882,0.3129567801952362,"[{""identity"":4015,""similarity"":0.9258601665496826},{""identity"":3882,""similarity"":0.3129567801952362},{""identity"":7449,""similarity"":0.2904475927352905}]",16.666666666666664,67.37588652482269,74.50980392156863,100.0,165,3,outputs/expanded_4016/eval_median_hard/metrics.json,expanded_4016/median_hard
expanded_4016,4016,least_sim_hard,7449,0.2904475927352905,"[{""identity"":4015,""similarity"":0.9258601665496826},{""identity"":3882,""similarity"":0.3129567801952362},{""identity"":7449,""similarity"":0.2904475927352905}]",0.0,67.37588652482269,80.50847457627118,0.0,165,3,outputs/expanded_4016/eval_least_sim_hard/metrics.json,expanded_4016/least_sim_hard
expanded_4040,4040,nearest_hard,10039,0.9098246097564697,"[{""identity"":10039,""similarity"":0.9098246097564697},{""identity"":6951,""similarity"":0.2952794134616852},{""identity"":1426,""similarity"":0.2809801697731018}]",12.5,95.8041958041958,91.46399618502622,100.0,167,1,outputs/expanded_4040/eval_nearest_hard/metrics.json,expanded_4040/nearest_hard
