group,policy,recognizer,FA,RA,ERB,IdentityLeak@8,selection_target_similarity,mean_target_similarity,evaluated_sample_count
437,nearest_hard,arcface,29.166666666666668,87.5,78.28947368421053,100.0,0.8855254650115967,0.6911170929670334,168
437,nearest_hard,adaface,45.83333333333333,86.80555555555556,66.70771756978654,100.0,0.8855254650115967,0.6726282387971878,168
437,random_hard,arcface,0.0,87.5,93.33333333333331,0.0,0.3123148679733276,0.182738213489453,168
437,random_hard,adaface,0.0,85.41666666666666,92.13483146067416,0.0,0.3123148679733276,0.2204255356142918,168
437,median_hard,arcface,0.0,87.5,93.33333333333331,0.0,0.3123148679733276,0.182738213489453,168
437,median_hard,adaface,0.0,85.41666666666666,92.13483146067416,0.0,0.3123148679733276,0.2204255356142918,168
437,least_sim_hard,arcface,0.0,88.11188811188812,93.68029739776954,0.0,0.2475332915782928,0.1789655551935235,167
437,least_sim_hard,adaface,0.0,86.7132867132867,92.88389513108612,0.0,0.2475332915782928,0.2296155666311582,167
900,nearest_hard,arcface,100.0,85.5072463768116,0.0,100.0,0.8597148060798645,0.7791323612133662,162
900,nearest_hard,adaface,41.66666666666667,86.95652173913044,69.82543640897757,100.0,0.8597148060798645,0.7613361304004987,162
900,random_hard,arcface,100.0,85.5072463768116,0.0,100.0,0.8597148060798645,0.7791323612133662,162
900,random_hard,adaface,41.66666666666667,86.95652173913044,69.82543640897757,100.0,0.8597148060798645,0.7613361304004987,162
900,median_hard,arcface,0.0,85.5072463768116,92.1875,0.0,0.3453413248062134,0.2864853392044703,162
900,median_hard,adaface,0.0,87.68115942028986,93.43629343629344,0.0,0.3453413248062134,0.3143312775840362,162
900,least_sim_hard,arcface,0.0,85.5072463768116,92.1875,0.0,0.2782435417175293,0.196167616173625,162
900,least_sim_hard,adaface,0.0,86.95652173913044,93.0232558139535,0.0,0.2782435417175293,0.2768598509331544,162
909,nearest_hard,arcface,0.0,83.80281690140845,91.18773946360152,0.0,0.7515740394592285,0.7466454449154082,163
909,nearest_hard,adaface,19.047619047619047,76.76056338028168,78.80076546884966,100.0,0.7515740394592285,0.7534160812695821,163
909,random_hard,arcface,0.0,83.80281690140845,91.18773946360152,0.0,0.7515740394592285,0.7466454449154082,163
909,random_hard,adaface,19.047619047619047,76.76056338028168,78.80076546884966,100.0,0.7515740394592285,0.7534160812695821,163
909,median_hard,arcface,0.0,84.50704225352112,91.6030534351145,0.0,0.3427057862281799,0.2102709102133909,166
909,median_hard,adaface,0.0,77.46478873239437,87.3015873015873,0.0,0.3427057862281799,0.2699951821317275,166
909,least_sim_hard,arcface,0.0,84.50704225352112,91.6030534351145,0.0,0.253473699092865,0.2879592428604762,166
909,least_sim_hard,adaface,0.0,76.76056338028168,86.85258964143426,0.0,0.253473699092865,0.3019243453939755,166
1116,nearest_hard,arcface,95.83333333333334,67.13286713286713,7.8463424601552765,100.0,0.7938684225082397,0.7187660038471222,167
1116,nearest_hard,adaface,79.16666666666666,67.83216783216784,31.876437725928373,100.0,0.7938684225082397,0.7481297999620438,167
1116,random_hard,arcface,95.83333333333334,67.13286713286713,7.8463424601552765,100.0,0.7938684225082397,0.7187660038471222,167
1116,random_hard,adaface,79.16666666666666,67.83216783216784,31.876437725928373,100.0,0.7938684225082397,0.7481297999620438,167
1116,median_hard,arcface,0.0,66.66666666666666,80.0,0.0,0.2336987257003784,0.2490776410947243,168
1116,median_hard,adaface,0.0,68.05555555555556,80.9917355371901,0.0,0.2336987257003784,0.2978013462076584,168
1116,least_sim_hard,arcface,0.0,66.66666666666666,80.0,0.0,0.2046848982572555,0.2668671278903882,168
1116,least_sim_hard,adaface,0.0,67.36111111111111,80.49792531120332,0.0,0.2046848982572555,0.397966926296552,168
1368,nearest_hard,arcface,0.0,100.0,100.0,0.0,0.8327707052230835,0.660518171886603,167
1368,nearest_hard,adaface,0.0,99.3006993006993,99.64912280701756,0.0,0.8327707052230835,0.6482181300719579,167
1368,random_hard,arcface,0.0,98.6013986013986,99.29577464788731,0.0,0.2863460779190063,0.2148164138197899,167
1368,random_hard,adaface,0.0,98.6013986013986,99.29577464788731,0.0,0.2863460779190063,0.2729396137098471,167
1368,median_hard,arcface,0.0,100.0,100.0,0.0,0.2909440398216247,0.2227910241732994,166
1368,median_hard,adaface,0.0,99.29577464788731,99.64664310954063,0.0,0.2909440398216247,0.2414168839653333,166
1368,least_sim_hard,arcface,0.0,98.6013986013986,99.29577464788731,0.0,0.2863460779190063,0.2148164138197899,167
1368,least_sim_hard,adaface,0.0,98.6013986013986,99.29577464788731,0.0,0.2863460779190063,0.2729396137098471,167
1375,nearest_hard,arcface,100.0,88.65248226950354,0.0,100.0,0.9101989269256592,0.7367781574527422,165
1375,nearest_hard,adaface,100.0,83.68794326241135,0.0,100.0,0.9101989269256592,0.7453479766845703,165
1375,random_hard,arcface,0.0,88.65248226950354,93.98496240601504,0.0,0.3230573534965515,0.2457748278975486,165
1375,random_hard,adaface,0.0,83.68794326241135,91.11969111969113,0.0,0.3230573534965515,0.2550756800919771,165
1375,median_hard,arcface,0.0,88.65248226950354,93.98496240601504,0.0,0.3230573534965515,0.2457748278975486,165
1375,median_hard,adaface,0.0,83.68794326241135,91.11969111969113,0.0,0.3230573534965515,0.2550756800919771,165
1375,least_sim_hard,arcface,0.0,88.65248226950354,93.98496240601504,0.0,0.3111060261726379,0.2349266894161701,165
1375,least_sim_hard,adaface,0.0,83.68794326241135,91.11969111969113,0.0,0.3111060261726379,0.303538126250108,165
1489,nearest_hard,arcface,100.0,87.5,0.0,100.0,0.7436854839324951,0.7212133184075356,168
1489,nearest_hard,adaface,25.0,93.05555555555556,83.05785123966943,100.0,0.7436854839324951,0.693032776316007,168
1489,random_hard,arcface,0.0,87.5,93.33333333333331,0.0,0.2764826416969299,0.2930790757139523,168
